Name,Column,Row,Pallet,Red,Green,Blue
White 0.05*,0,0,rectangle,243,243,243
Neutral 8,1,0,rectangle,200,200,200
Neutral 6.5,2,0,rectangle,160,160,160
Neutral 5,3,0,rectangle,122,122,122
Neutral 3.5,4,0,rectangle,85,85,85
Black,5,0,rectangle,52,52,52
