Name,Column,Row,Pallet,Red,Green,Blue
0.01 D,0,0,rectangle,255,255,255
0.05 D*,1,0,rectangle,243,243,243
0.23 D*,2,0,rectangle,200,200,200
0.44 D*,3,0,rectangle,160,160,160
0.70 D*,4,0,rectangle,122,122,122
1.05 D*,5,0,rectangle,85,85,85
1.50 D*,6,0,rectangle,52,52,52
2.00 D,7,0,rectangle,31,31,31
2.60 D,8,0,rectangle,17,17,17
3.40 D,9,0,rectangle,7,7,7
3.80 D,10,0,rectangle,5,5,5
4.00 D,11,0,rectangle,5,5,5
